Category,Feature,Startup (INR 2499),Growth (Custom Growth),Enterprise (Custom Quote)
Store Features,Online store,3,10,Custom
Store Features,Users access,2,6,30
Store Features,New domain booking,Yes,Yes,Custom
Store Features,Live analytics,Yes,Yes,Custom
Store Features,SL transaction fees,2%,1.5%,0.75%
Store Features,Hosting and security,Yes,Yes,Yes
Store Features,Sellers Login logo,No,No,Custom
Store Features,Virus-free web,Yes,Yes,Custom
Customer and Sales,Customer records,Included,Advanced,Custom
Customer and Sales,Order and sales visibility,Included,Advanced,Advanced
Customer and Sales,B2C and B2B workflow fit,Startup,Multi-store,Custom
Products and Storefront,Product capacity,Scale-ready,600,1000
Products and Storefront,Storefront feature controls,Included,Advanced,Custom
Products and Storefront,SEO and page controls,Included,Advanced,Advanced
Marketing and Automation,Marketing features,Core,Advanced,Custom
Email Features,Template making,Addon,Addon,-
Email Features,Promotion email campaign,Addon Kit,Addon,Addon
Email Features,Drip email campaign,Add on Kit,Add on Kit,Add on Kit
Email Features,Newsletter,Add on Kit,Add on Kit,Add on Kit
Email Features,Order notification,Add on Kit,Add on Kit,Add on Kit
Email Features,Followup notification,Add on Kit,Add on Kit,Add on Kit
WhatsApp Business API,Template making,Add on Kit,Add on Kit,Add on Kit
WhatsApp Business API,Notification,Add on Kit,Add on Kit,Add on Kit
WhatsApp Business API,Promotion messaging,Add on Kit,Add on Kit,Add on Kit
WhatsApp Business API,Drip campaign,Add on Kit,Add on Kit,Add on Kit
WhatsApp Business API,Followup messaging,Add on Kit,Add on Kit,Add on Kit
Payment Gateway,Payment gateway integration,Yes,Yes,-
Payment Gateway,Domestic / international payment option,Yes,Yes,-
Payment Gateway,2 days settlement,Yes,Yes,-
Support,Ticket,Yes,Yes,Yes
Support,Mail,Yes,Yes,Yes
Support,Chat,Yes,Yes,Yes
